,門牌資料,編釘日期,編釘類別
54,桃園市桃園區汴洲里034鄰幸福路２３９號二十六樓,民國112年3月30日,門牌初編
55,桃園市桃園區汴洲里034鄰幸福路２３９號二十七樓,民國112年3月30日,門牌初編
56,桃園市桃園區汴洲里034鄰幸福路２３９號二十八樓,民國112年3月30日,門牌初編
57,桃園市桃園區汴洲里034鄰幸福路２３９號二十九樓,民國112年3月30日,門牌初編
58,桃園市桃園區東門里002鄰忠孝街１１號,民國112年3月30日,門牌初編
59,桃園市桃園區汴洲里034鄰幸福路２３７號十一樓,民國112年3月30日,門牌初編
60,桃園市桃園區汴洲里034鄰幸福路２３７號十五樓,民國112年3月30日,門牌初編
61,桃園市桃園區汴洲里034鄰幸福路２３７號二十一樓,民國112年3月30日,門牌初編
62,桃園市桃園區汴洲里034鄰幸福路２３９號十七樓,民國112年3月30日,門牌初編
63,桃園市桃園區汴洲里034鄰幸福路２３９號十八樓,民國112年3月30日,門牌初編
64,桃園市桃園區汴洲里034鄰幸福路３５８號二十八樓,民國112年3月30日,門牌初編
65,桃園市桃園區汴洲里034鄰幸福路３５８號九樓,民國112年3月30日,門牌初編
66,桃園市桃園區汴洲里034鄰幸福路３５８號十五樓,民國112年3月30日,門牌初編
67,桃園市桃園區汴洲里034鄰幸福路３５８號十九樓,民國112年3月30日,門牌初編
68,桃園市桃園區汴洲里034鄰幸福路３５８號二十七樓,民國112年3月30日,門牌初編
69,桃園市桃園區汴洲里034鄰幸福路３５８號三十樓,民國112年3月30日,門牌初編
70,桃園市桃園區汴洲里034鄰幸福路２３７號十三樓,民國112年3月30日,門牌初編
71,桃園市桃園區汴洲里034鄰幸福路２３７號十四樓,民國112年3月30日,門牌初編
72,桃園市桃園區汴洲里034鄰幸福路２３７號二十樓,民國112年3月30日,門牌初編
73,桃園市桃園區汴洲里034鄰幸福路２３７號三樓,民國112年3月30日,門牌初編
74,桃園市桃園區汴洲里034鄰幸福路３５６號六樓,民國112年3月30日,門牌初編
75,桃園市桃園區汴洲里034鄰幸福路３５６號十五樓,民國112年3月30日,門牌初編
76,桃園市桃園區汴洲里034鄰幸福路３５６號二十樓,民國112年3月30日,門牌初編
77,桃園市桃園區汴洲里034鄰幸福路３５６號二十六樓,民國112年3月30日,門牌初編
78,桃園市桃園區汴洲里034鄰幸福路３５６號二十九樓,民國112年3月30日,門牌初編
79,桃園市桃園區汴洲里034鄰幸福路３５８號七樓,民國112年3月30日,門牌初編
80,桃園市桃園區汴洲里034鄰幸福路３５８號十二樓,民國112年3月30日,門牌初編
81,桃園市桃園區汴洲里034鄰幸福路３５８號十六樓,民國112年3月30日,門牌初編
82,桃園市桃園區汴洲里034鄰幸福路３５８號十八樓,民國112年3月30日,門牌初編
83,桃園市桃園區汴洲里034鄰幸福路３５８號二十二樓,民國112年3月30日,門牌初編
84,桃園市桃園區汴洲里034鄰幸福路３５８號二十三樓,民國112年3月30日,門牌初編
85,桃園市桃園區汴洲里034鄰幸福路３５８號二十九樓,民國112年3月30日,門牌初編
86,桃園市桃園區汴洲里034鄰幸福路３５８號二十一樓,民國112年3月30日,門牌初編
87,桃園市桃園區汴洲里034鄰幸福路２３７號十樓,民國112年3月30日,門牌初編
88,桃園市桃園區汴洲里034鄰幸福路２３７號十八樓,民國112年3月30日,門牌初編
89,桃園市桃園區汴洲里034鄰幸福路２３７號二十二樓,民國112年3月30日,門牌初編
90,桃園市桃園區汴洲里034鄰幸福路２３７號二十七樓,民國112年3月30日,門牌初編
91,桃園市桃園區汴洲里034鄰幸福路２３７號五樓,民國112年3月30日,門牌初編
92,桃園市桃園區汴洲里034鄰幸福路３５６號三樓,民國112年3月30日,門牌初編
93,桃園市桃園區汴洲里034鄰幸福路３５６號五樓,民國112年3月30日,門牌初編
94,桃園市桃園區汴洲里034鄰幸福路３５６號七樓,民國112年3月30日,門牌初編
95,桃園市桃園區汴洲里034鄰幸福路３５６號十一樓,民國112年3月30日,門牌初編
96,桃園市桃園區汴洲里034鄰幸福路３５６號十三樓,民國112年3月30日,門牌初編
97,桃園市桃園區汴洲里034鄰幸福路３５６號十四樓,民國112年3月30日,門牌初編
98,桃園市桃園區汴洲里034鄰幸福路３５６號十六樓,民國112年3月30日,門牌初編
99,桃園市桃園區汴洲里034鄰幸福路３５６號十七樓,民國112年3月30日,門牌初編
100,桃園市桃園區汴洲里034鄰幸福路３５６號二十一樓,民國112年3月30日,門牌初編
101,桃園市桃園區汴洲里034鄰幸福路３５６號二十二樓,民國112年3月30日,門牌初編
102,桃園市桃園區汴洲里034鄰幸福路３５６號二十四樓,民國112年3月30日,門牌初編
103,桃園市桃園區汴洲里034鄰幸福路３５６號二十五樓,民國112年3月30日,門牌初編
104,桃園市桃園區汴洲里034鄰幸福路３５６號二十八樓,民國112年3月30日,門牌初編
105,桃園市桃園區汴洲里034鄰幸福路３５８號三樓,民國112年3月30日,門牌初編
106,桃園市桃園區汴洲里034鄰幸福路３５８號五樓,民國112年3月30日,門牌初編
107,桃園市桃園區汴洲里034鄰幸福路３５８號四樓,民國112年3月30日,門牌初編
108,桃園市桃園區汴洲里034鄰幸福路３５８號八樓,民國112年3月30日,門牌初編
109,桃園市桃園區汴洲里034鄰幸福路３５８號十樓,民國112年3月30日,門牌初編
110,桃園市桃園區汴洲里034鄰幸福路３５８號十四樓,民國112年3月30日,門牌初編
111,桃園市桃園區汴洲里034鄰幸福路３５８號十三樓,民國112年3月30日,門牌初編
112,桃園市桃園區汴洲里034鄰幸福路３５８號十七樓,民國112年3月30日,門牌初編
113,桃園市桃園區汴洲里034鄰幸福路３５８號二十樓,民國112年3月30日,門牌初編
114,桃園市桃園區汴洲里034鄰幸福路３５８號二十四樓,民國112年3月30日,門牌初編
115,桃園市桃園區汴洲里034鄰幸福路３５８號二十五樓,民國112年3月30日,門牌初編
116,桃園市桃園區汴洲里034鄰幸福路３５６號四樓,民國112年3月30日,門牌初編
117,桃園市桃園區汴洲里034鄰幸福路３５６號八樓,民國112年3月30日,門牌初編
118,桃園市桃園區汴洲里034鄰幸福路３５６號九樓,民國112年3月30日,門牌初編
119,桃園市桃園區汴洲里034鄰幸福路３５６號十樓,民國112年3月30日,門牌初編
120,桃園市桃園區汴洲里034鄰幸福路３５６號十二樓,民國112年3月30日,門牌初編
121,桃園市桃園區汴洲里034鄰幸福路３５６號十八樓,民國112年3月30日,門牌初編
122,桃園市桃園區汴洲里034鄰幸福路３５６號十九樓,民國112年3月30日,門牌初編
123,桃園市桃園區汴洲里034鄰幸福路３５６號二十三樓,民國112年3月30日,門牌初編
124,桃園市桃園區汴洲里034鄰幸福路３５６號二十七樓,民國112年3月30日,門牌初編
125,桃園市桃園區汴洲里034鄰幸福路３５６號三十樓,民國112年3月30日,門牌初編
126,桃園市桃園區汴洲里034鄰幸福路３５８號六樓,民國112年3月30日,門牌初編
127,桃園市桃園區汴洲里034鄰幸福路３５８號十一樓,民國112年3月30日,門牌初編
128,桃園市桃園區汴洲里034鄰幸福路３５８號二十六樓,民國112年3月30日,門牌初編
129,桃園市桃園區汴洲里034鄰幸福路２３９號十六樓,民國112年3月30日,門牌初編
130,桃園市桃園區汴洲里034鄰幸福路２３７號二十九樓,民國112年3月30日,門牌初編
131,桃園市桃園區汴洲里034鄰幸福路２３９號五樓,民國112年3月30日,門牌初編
132,桃園市桃園區汴洲里034鄰幸福路２３７號二十六樓,民國112年3月30日,門牌初編
133,桃園市桃園區汴洲里034鄰幸福路２３９號七樓,民國112年3月30日,門牌初編
134,桃園市桃園區汴洲里034鄰幸福路２３９號十四樓,民國112年3月30日,門牌初編
135,桃園市桃園區汴洲里034鄰幸福路２３７號四樓,民國112年3月30日,門牌初編
136,桃園市桃園區汴洲里034鄰幸福路２３７號九樓,民國112年3月30日,門牌初編
137,桃園市桃園區汴洲里034鄰幸福路２３７號十六樓,民國112年3月30日,門牌初編
138,桃園市桃園區汴洲里034鄰幸福路２３７號十九樓,民國112年3月30日,門牌初編
139,桃園市桃園區汴洲里034鄰幸福路２３７號二十五樓,民國112年3月30日,門牌初編
140,桃園市桃園區汴洲里034鄰幸福路２３７號二十八樓,民國112年3月30日,門牌初編
141,桃園市桃園區汴洲里034鄰幸福路２３９號三樓,民國112年3月30日,門牌初編
142,桃園市桃園區汴洲里034鄰幸福路２３９號四樓,民國112年3月30日,門牌初編
143,桃園市桃園區汴洲里034鄰幸福路２３９號六樓,民國112年3月30日,門牌初編
144,桃園市桃園區中德里019鄰國際路一段７１６號,民國112年3月30日,門牌初編
145,桃園市桃園區南埔里008鄰吉安街１５８號七樓,民國112年3月24日,門牌初編
146,桃園市桃園區南埔里008鄰吉安街１５８號十六樓,民國112年3月24日,門牌初編
147,桃園市桃園區南埔里008鄰吉安街１５８號十七樓,民國112年3月24日,門牌初編
148,桃園市桃園區南埔里008鄰吉安街１６０號五樓,民國112年3月24日,門牌初編
149,桃園市桃園區南埔里008鄰吉安街１６０號十五樓,民國112年3月24日,門牌初編
150,桃園市桃園區南埔里008鄰吉安街１６２號三樓,民國112年3月24日,門牌初編
151,桃園市桃園區南埔里008鄰吉安街１６０號六樓,民國112年3月24日,門牌初編
152,桃園市桃園區南埔里008鄰吉安街１６０號十六樓,民國112年3月24日,門牌初編
153,桃園市桃園區福元里006鄰民富二街８巷２０號二樓,民國112年3月24日,門牌初編
154,桃園市桃園區福元里006鄰民富二街８巷２０號四樓,民國112年3月24日,門牌初編
155,桃園市桃園區福元里006鄰民富二街８巷２０號七樓,民國112年3月24日,門牌初編
156,桃園市桃園區福元里006鄰民富二街８巷２２號四樓,民國112年3月24日,門牌初編
157,桃園市桃園區福元里006鄰民富二街８巷２２號七樓,民國112年3月24日,門牌初編
158,桃園市桃園區福元里006鄰民富二街８巷２６號,民國112年3月24日,門牌初編
159,桃園市桃園區福元里006鄰民富二街８巷２６號五樓,民國112年3月24日,門牌初編
160,桃園市桃園區福元里006鄰民富二街８巷２８號五樓,民國112年3月24日,門牌初編
161,桃園市桃園區福元里006鄰民富二街８巷２８號六樓,民國112年3月24日,門牌初編
162,桃園市桃園區福元里006鄰民富二街８巷３０號五樓,民國112年3月24日,門牌初編
163,桃園市桃園區福元里006鄰民富二街８巷３０號六樓,民國112年3月24日,門牌初編
164,桃園市桃園區福元里006鄰民富二街８巷３０號九樓,民國112年3月24日,門牌初編
165,桃園市桃園區福元里006鄰民富二街８巷３０號十樓,民國112年3月24日,門牌初編
166,桃園市桃園區福元里006鄰民富二街８巷３０號七樓,民國112年3月24日,門牌初編
167,桃園市桃園區福元里006鄰民富二街８巷３２號二樓,民國112年3月24日,門牌初編
168,桃園市桃園區福元里006鄰民富二街８巷３２號四樓,民國112年3月24日,門牌初編
169,桃園市桃園區福元里006鄰民富二街８巷３２號五樓,民國112年3月24日,門牌初編
170,桃園市桃園區福元里006鄰民富二街８巷３２號六樓,民國112年3月24日,門牌初編
171,桃園市桃園區福元里006鄰民富二街８巷３２號七樓,民國112年3月24日,門牌初編
172,桃園市桃園區福元里006鄰民富二街８巷３２號八樓,民國112年3月24日,門牌初編
173,桃園市桃園區福元里006鄰民富二街８巷３２號九樓,民國112年3月24日,門牌初編
174,桃園市桃園區福元里006鄰民富二街８巷３６號二樓,民國112年3月24日,門牌初編
175,桃園市桃園區福元里006鄰民富二街８巷３６號三樓,民國112年3月24日,門牌初編
176,桃園市桃園區福元里006鄰民富二街８巷３６號四樓,民國112年3月24日,門牌初編
177,桃園市桃園區福元里006鄰民富二街８巷３６號五樓,民國112年3月24日,門牌初編
178,桃園市桃園區福元里006鄰民富二街８巷３６號六樓,民國112年3月24日,門牌初編
179,桃園市桃園區福元里006鄰民富二街８巷３６號七樓,民國112年3月24日,門牌初編
180,桃園市桃園區福元里006鄰民富二街８巷３６號八樓,民國112年3月24日,門牌初編
181,桃園市桃園區福元里006鄰民富二街８巷３６號九樓,民國112年3月24日,門牌初編
182,桃園市桃園區福元里006鄰民富二街８巷３８號三樓,民國112年3月24日,門牌初編
183,桃園市桃園區福元里006鄰民富二街８巷３８號四樓,民國112年3月24日,門牌初編
184,桃園市桃園區福元里006鄰民富二街８巷３８號五樓,民國112年3月24日,門牌初編
185,桃園市桃園區福元里006鄰民富二街８巷３８號六樓,民國112年3月24日,門牌初編
186,桃園市桃園區福元里006鄰民富二街８巷３８號七樓,民國112年3月24日,門牌初編
187,桃園市桃園區福元里006鄰民富二街８巷３８號八樓,民國112年3月24日,門牌初編
188,桃園市桃園區福元里006鄰民富二街８巷３８號九樓,民國112年3月24日,門牌初編
189,桃園市桃園區福元里006鄰民富二街８巷３８號十樓,民國112年3月24日,門牌初編
190,桃園市桃園區南埔里008鄰吉安街１７０號十五樓,民國112年3月24日,門牌初編
191,桃園市桃園區南埔里008鄰吉安街１７０號十六樓,民國112年3月24日,門牌初編
192,桃園市桃園區南埔里008鄰吉安街１７０號十七樓,民國112年3月24日,門牌初編
193,桃園市桃園區南埔里008鄰吉安街１７０號十九樓,民國112年3月24日,門牌初編
194,桃園市桃園區南埔里008鄰吉安街１７０號二十樓,民國112年3月24日,門牌初編
195,桃園市桃園區南埔里008鄰吉安街１７０號二十一樓,民國112年3月24日,門牌初編
196,桃園市桃園區南埔里008鄰吉安街１７０號二十二樓,民國112年3月24日,門牌初編
197,桃園市桃園區福元里006鄰民富二街８巷２０號,民國112年3月24日,門牌初編
198,桃園市桃園區福元里006鄰民富二街８巷２０號三樓,民國112年3月24日,門牌初編
199,桃園市桃園區福元里006鄰民富二街８巷２０號五樓,民國112年3月24日,門牌初編
200,桃園市桃園區福元里006鄰民富二街８巷２０號六樓,民國112年3月24日,門牌初編
201,桃園市桃園區福元里006鄰民富二街８巷２０號九樓,民國112年3月24日,門牌初編
202,桃園市桃園區福元里006鄰民富二街８巷２０號十樓,民國112年3月24日,門牌初編
203,桃園市桃園區福元里006鄰民富二街８巷２２號二樓,民國112年3月24日,門牌初編
204,桃園市桃園區福元里006鄰民富二街８巷２２號三樓,民國112年3月24日,門牌初編
205,桃園市桃園區福元里006鄰民富二街８巷２２號五樓,民國112年3月24日,門牌初編
206,桃園市桃園區福元里006鄰民富二街８巷２２號六樓,民國112年3月24日,門牌初編
207,桃園市桃園區福元里006鄰民富二街８巷２２號十樓,民國112年3月24日,門牌初編
208,桃園市桃園區福元里006鄰民富二街８巷２２號八樓,民國112年3月24日,門牌初編
209,桃園市桃園區福元里006鄰民富二街８巷３２號,民國112年3月24日,門牌初編
210,桃園市桃園區福元里006鄰民富二街８巷３６號,民國112年3月24日,門牌初編
211,桃園市桃園區福元里006鄰民富二街８巷２６號四樓,民國112年3月24日,門牌初編
212,桃園市桃園區福元里006鄰民富二街８巷２６號六樓,民國112年3月24日,門牌初編
213,桃園市桃園區福元里006鄰民富二街８巷２６號七樓,民國112年3月24日,門牌初編
214,桃園市桃園區福元里006鄰民富二街８巷２６號十樓,民國112年3月24日,門牌初編
215,桃園市桃園區福元里006鄰民富二街８巷２８號二樓,民國112年3月24日,門牌初編
216,桃園市桃園區福元里006鄰民富二街８巷２８號四樓,民國112年3月24日,門牌初編
217,桃園市桃園區福元里006鄰民富二街８巷２８號七樓,民國112年3月24日,門牌初編
218,桃園市桃園區福元里006鄰民富二街８巷２８號八樓,民國112年3月24日,門牌初編
219,桃園市桃園區福元里006鄰民富二街８巷３０號二樓,民國112年3月24日,門牌初編
220,桃園市桃園區福元里006鄰民富二街８巷３０號三樓,民國112年3月24日,門牌初編
221,桃園市桃園區福元里006鄰民富二街８巷３０號四樓,民國112年3月24日,門牌初編
222,桃園市桃園區福元里006鄰民富二街８巷２０號八樓,民國112年3月24日,門牌初編
223,桃園市桃園區福元里006鄰民富二街８巷２２號,民國112年3月24日,門牌初編
224,桃園市桃園區福元里006鄰民富二街８巷２２號九樓,民國112年3月24日,門牌初編
225,桃園市桃園區福元里006鄰民富二街８巷３８號,民國112年3月24日,門牌初編
226,桃園市桃園區福元里006鄰民富二街８巷２６號三樓,民國112年3月24日,門牌初編
227,桃園市桃園區福元里006鄰民富二街８巷２６號二樓,民國112年3月24日,門牌初編
228,桃園市桃園區福元里006鄰民富二街８巷２６號八樓,民國112年3月24日,門牌初編
229,桃園市桃園區福元里006鄰民富二街８巷２６號九樓,民國112年3月24日,門牌初編
230,桃園市桃園區福元里006鄰民富二街８巷２８號三樓,民國112年3月24日,門牌初編
231,桃園市桃園區福元里006鄰民富二街８巷２８號九樓,民國112年3月24日,門牌初編
232,桃園市桃園區福元里006鄰民富二街８巷２８號十樓,民國112年3月24日,門牌初編
233,桃園市桃園區福元里006鄰民富二街８巷３０號八樓,民國112年3月24日,門牌初編
234,桃園市桃園區福元里006鄰民富二街８巷３２號三樓,民國112年3月24日,門牌初編
235,桃園市桃園區福元里006鄰民富二街８巷３２號十樓,民國112年3月24日,門牌初編
236,桃園市桃園區福元里006鄰民富二街８巷３６號十樓,民國112年3月24日,門牌初編
237,桃園市桃園區福元里006鄰民富二街８巷３８號二樓,民國112年3月24日,門牌初編
238,桃園市桃園區中成里011鄰溫州一路３２９號六樓,民國112年3月24日,門牌初編
239,桃園市桃園區中成里011鄰溫州一路３２９號十四樓,民國112年3月24日,門牌初編
240,桃園市桃園區中成里011鄰溫州一路３２９號二十四樓,民國112年3月24日,門牌初編
241,桃園市桃園區中成里011鄰溫州一路３３１號十樓,民國112年3月24日,門牌初編
242,桃園市桃園區中成里011鄰溫州一路３３１號二十一樓,民國112年3月24日,門牌初編
243,桃園市桃園區南埔里008鄰吉安街１６２號二樓,民國112年3月24日,門牌初編
244,桃園市桃園區南埔里008鄰吉安街１６２號四樓,民國112年3月24日,門牌初編
245,桃園市桃園區南埔里008鄰吉安街１６２號七樓,民國112年3月24日,門牌初編
246,桃園市桃園區南埔里008鄰吉安街１６２號八樓,民國112年3月24日,門牌初編
247,桃園市桃園區南埔里008鄰吉安街１６２號九樓,民國112年3月24日,門牌初編
248,桃園市桃園區南埔里008鄰吉安街１６２號十樓,民國112年3月24日,門牌初編
249,桃園市桃園區南埔里008鄰吉安街１６２號十一樓,民國112年3月24日,門牌初編
250,桃園市桃園區南埔里008鄰吉安街１６２號十六樓,民國112年3月24日,門牌初編
251,桃園市桃園區南埔里008鄰吉安街１６２號十八樓,民國112年3月24日,門牌初編
252,桃園市桃園區南埔里008鄰吉安街１６２號二十樓,民國112年3月24日,門牌初編
253,桃園市桃園區南埔里008鄰吉安街１６２號二十一樓,民國112年3月24日,門牌初編
254,桃園市桃園區南埔里008鄰吉安街１６２號十九樓,民國112年3月24日,門牌初編
255,桃園市桃園區南埔里008鄰吉安街１６２號十五樓,民國112年3月24日,門牌初編
256,桃園市桃園區南埔里008鄰吉安街１６６號二樓,民國112年3月24日,門牌初編
257,桃園市桃園區南埔里008鄰吉安街１６６號四樓,民國112年3月24日,門牌初編
258,桃園市桃園區南埔里008鄰吉安街１６６號十樓,民國112年3月24日,門牌初編
259,桃園市桃園區南埔里008鄰吉安街１６６號十一樓,民國112年3月24日,門牌初編
260,桃園市桃園區南埔里008鄰吉安街１６６號十二樓,民國112年3月24日,門牌初編
261,桃園市桃園區南埔里008鄰吉安街１６６號十四樓,民國112年3月24日,門牌初編
262,桃園市桃園區南埔里008鄰吉安街１６６號十九樓,民國112年3月24日,門牌初編
263,桃園市桃園區南埔里008鄰吉安街１６８號四樓,民國112年3月24日,門牌初編
264,桃園市桃園區南埔里008鄰吉安街１６８號五樓,民國112年3月24日,門牌初編
265,桃園市桃園區南埔里008鄰吉安街１６８號九樓,民國112年3月24日,門牌初編
266,桃園市桃園區南埔里008鄰吉安街１６８號十樓,民國112年3月24日,門牌初編
267,桃園市桃園區南埔里008鄰吉安街１６８號十一樓,民國112年3月24日,門牌初編
268,桃園市桃園區南埔里008鄰吉安街１６８號十二樓,民國112年3月24日,門牌初編
269,桃園市桃園區南埔里008鄰吉安街１６８號十四樓,民國112年3月24日,門牌初編
270,桃園市桃園區南埔里008鄰吉安街１６８號十六樓,民國112年3月24日,門牌初編
271,桃園市桃園區南埔里008鄰吉安街１６８號十七樓,民國112年3月24日,門牌初編
272,桃園市桃園區南埔里008鄰吉安街１６８號十九樓,民國112年3月24日,門牌初編
273,桃園市桃園區南埔里008鄰吉安街１６８號二十一樓,民國112年3月24日,門牌初編
274,桃園市桃園區南埔里008鄰吉安街１６８號二十二樓,民國112年3月24日,門牌初編
275,桃園市桃園區南埔里008鄰吉安街１７０號二樓,民國112年3月24日,門牌初編
276,桃園市桃園區南埔里008鄰吉安街１７０號三樓,民國112年3月24日,門牌初編
277,桃園市桃園區南埔里008鄰吉安街１７０號六樓,民國112年3月24日,門牌初編
278,桃園市桃園區南埔里008鄰吉安街１７０號七樓,民國112年3月24日,門牌初編
279,桃園市桃園區南埔里008鄰吉安街１７０號十樓,民國112年3月24日,門牌初編
280,桃園市桃園區南埔里008鄰吉安街１７０號八樓,民國112年3月24日,門牌初編
281,桃園市桃園區南埔里008鄰吉安街１７０號九樓,民國112年3月24日,門牌初編
282,桃園市桃園區南埔里008鄰吉安街１７０號十一樓,民國112年3月24日,門牌初編
283,桃園市桃園區南埔里008鄰吉安街１７０號十三樓,民國112年3月24日,門牌初編
284,桃園市桃園區南埔里008鄰吉安街１７０號十四樓,民國112年3月24日,門牌初編
285,桃園市桃園區中成里011鄰溫州一路３２７號二十一樓,民國112年3月24日,門牌初編
286,桃園市桃園區中成里011鄰溫州一路３２７號二十樓,民國112年3月24日,門牌初編
287,桃園市桃園區中成里011鄰溫州一路３２７號五樓,民國112年3月24日,門牌初編
288,桃園市桃園區中成里011鄰溫州一路３２７號二十三樓,民國112年3月24日,門牌初編
289,桃園市桃園區中成里011鄰溫州一路３２７號二十四樓,民國112年3月24日,門牌初編
290,桃園市桃園區中成里011鄰溫州一路３２９號三樓,民國112年3月24日,門牌初編
291,桃園市桃園區中成里011鄰溫州一路３２７號十九樓,民國112年3月24日,門牌初編
292,桃園市桃園區中成里011鄰溫州一路３２９號五樓,民國112年3月24日,門牌初編
293,桃園市桃園區中成里011鄰溫州一路３２９號八樓,民國112年3月24日,門牌初編
294,桃園市桃園區中成里011鄰溫州一路３２９號九樓,民國112年3月24日,門牌初編
295,桃園市桃園區中成里011鄰溫州一路３２９號十二樓,民國112年3月24日,門牌初編
296,桃園市桃園區中成里011鄰溫州一路３２９號七樓,民國112年3月24日,門牌初編
297,桃園市桃園區中成里011鄰溫州一路３２９號十三樓,民國112年3月24日,門牌初編
298,桃園市桃園區中成里011鄰溫州一路３２９號十六樓,民國112年3月24日,門牌初編
299,桃園市桃園區中成里011鄰溫州一路３２９號十八樓,民國112年3月24日,門牌初編
300,桃園市桃園區中成里011鄰溫州一路３２９號十九樓,民國112年3月24日,門牌初編
301,桃園市桃園區中成里011鄰溫州一路３２９號二十一樓,民國112年3月24日,門牌初編
